"No.","Time","Source","Destination","Protocol","Length","Info"
"763","43.755718","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=18051 Ack=2550 Win=3735 Len=0"
"765","43.844280","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=18051 Ack=2621 Win=3735 Len=0"
"767","43.845041","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=18051 Ack=2621 Win=3735 Len=75 [TCP segment of a reassembled PDU]"
"768","43.851741","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=2621 Ack=18126 Win=513 Len=71 [TCP segment of a reassembled PDU]"
"770","43.945597","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=18126 Ack=2692 Win=3735 Len=0"
"786","44.840566","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=18126 Ack=2692 Win=3735 Len=75 [TCP segment of a reassembled PDU]"
"789","44.857625","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=2692 Ack=18201 Win=513 Len=71 [TCP segment of a reassembled PDU]"
"790","44.939324","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=18201 Ack=2763 Win=3735 Len=0"
"972","58.373276","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=18201 Ack=2763 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"973","58.373525","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=18713 Ack=2763 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"974","58.373525","157.240.251.61","192.168.0.10","TCP","393","5222  >  64144 [PSH, ACK] Seq=19225 Ack=2763 Win=3735 Len=339 [TCP segment of a reassembled PDU]"
"975","58.373755","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=2763 Ack=19225 Win=516 Len=0"
"980","58.418861","157.240.251.61","192.168.0.10","TCP","393","[TCP Retransmission] 5222  >  64144 [PSH, ACK] Seq=19225 Ack=2763 Win=3735 Len=339"
"981","58.419443","192.168.0.10","157.240.251.61","TCP","66","64144  >  5222 [ACK] Seq=2763 Ack=19564 Win=515 Len=0 SLE=19225 SRE=19564"
"985","58.473414","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=2763 Ack=19564 Win=515 Len=70 [TCP segment of a reassembled PDU]"
"986","58.529393","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=19564 Ack=2763 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"987","58.529393","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=20076 Ack=2763 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"988","58.529656","157.240.251.61","192.168.0.10","TCP","457","5222  >  64144 [PSH, ACK] Seq=20588 Ack=2763 Win=3735 Len=403 [TCP segment of a reassembled PDU]"
"991","58.529897","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=2833 Ack=20588 Win=511 Len=0"
"993","58.530158","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=2833 Ack=20991 Win=516 Len=0"
"995","58.544214","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=20991 Ack=2833 Win=3735 Len=0"
"996","58.552459","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=2833 Ack=20991 Win=516 Len=70 [TCP segment of a reassembled PDU]"
"1001","58.623561","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=20991 Ack=2903 Win=3735 Len=0"
"1003","58.777364","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=20991 Ack=2903 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"1004","58.777364","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=21503 Ack=2903 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"1005","58.778248","157.240.251.61","192.168.0.10","TCP","409","5222  >  64144 [PSH, ACK] Seq=22015 Ack=2903 Win=3735 Len=355 [TCP segment of a reassembled PDU]"
"1009","58.779126","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=2903 Ack=22015 Win=512 Len=0"
"1012","58.812796","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=2903 Ack=22370 Win=511 Len=70 [TCP segment of a reassembled PDU]"
"1015","58.886817","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=22370 Ack=2973 Win=3735 Len=0"
"1021","59.094864","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=22370 Ack=2973 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"1022","59.094864","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=22882 Ack=2973 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"1023","59.095725","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=2973 Ack=23394 Win=516 Len=0"
"1024","59.097112","157.240.251.61","192.168.0.10","TCP","521","5222  >  64144 [PSH, ACK] Seq=23394 Ack=2973 Win=3735 Len=467 [TCP segment of a reassembled PDU]"
"1031","59.124794","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=2973 Ack=23861 Win=514 Len=70 [TCP segment of a reassembled PDU]"
"1033","59.140616","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=23861 Ack=2973 Win=3735 Len=75 [TCP segment of a reassembled PDU]"
"1034","59.152737","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=3043 Ack=23936 Win=514 Len=71 [TCP segment of a reassembled PDU]"
"1035","59.156421","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=23936 Ack=2973 Win=3735 Len=75 [TCP segment of a reassembled PDU]"
"1036","59.163833","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=3114 Ack=24011 Win=514 Len=71 [TCP segment of a reassembled PDU]"
"1037","59.194964","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=24011 Ack=3043 Win=3735 Len=0"
"1038","59.237130","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=24011 Ack=3114 Win=3735 Len=0"
"1040","59.293740","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=24011 Ack=3185 Win=3735 Len=0"
"1042","59.298267","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=24011 Ack=3185 Win=3735 Len=75 [TCP segment of a reassembled PDU]"
"1043","59.304597","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=3185 Ack=24086 Win=513 Len=71 [TCP segment of a reassembled PDU]"
"1045","59.504789","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=24086 Ack=3256 Win=3735 Len=0"
"1056","60.317399","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=24086 Ack=3256 Win=3735 Len=75 [TCP segment of a reassembled PDU]"
"1058","60.371113","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=3256 Ack=24161 Win=513 Len=0"
"1059","60.435306","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=3256 Ack=24161 Win=513 Len=71 [TCP segment of a reassembled PDU]"
"1060","60.509072","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=24161 Ack=3327 Win=3735 Len=0"
"1224","75.581680","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=24161 Ack=3327 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"1225","75.586338","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=24673 Ack=3327 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"1226","75.586338","157.240.251.61","192.168.0.10","TCP","393","5222  >  64144 [PSH, ACK] Seq=25185 Ack=3327 Win=3735 Len=339 [TCP segment of a reassembled PDU]"
"1229","75.586880","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=3327 Ack=25185 Win=516 Len=0"
"1232","75.617397","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=3327 Ack=25524 Win=515 Len=70 [TCP segment of a reassembled PDU]"
"1234","75.698458","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=25524 Ack=3397 Win=3735 Len=0"
"1236","75.844940","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=25524 Ack=3397 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"1237","75.844940","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=26036 Ack=3397 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"1238","75.844940","157.240.251.61","192.168.0.10","TCP","457","5222  >  64144 [PSH, ACK] Seq=26548 Ack=3397 Win=3735 Len=403 [TCP segment of a reassembled PDU]"
"1239","75.845759","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=3397 Ack=26548 Win=511 Len=0"
"1245","75.884459","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=3397 Ack=26951 Win=516 Len=70 [TCP segment of a reassembled PDU]"
"1247","75.913026","157.240.251.61","192.168.0.10","TCP","190","5222  >  64144 [PSH, ACK] Seq=26951 Ack=3397 Win=3735 Len=136 [TCP segment of a reassembled PDU]"
"1249","75.936615","192.168.0.10","157.240.251.61","TCP","111","64144  >  5222 [PSH, ACK] Seq=3467 Ack=27087 Win=516 Len=57 [TCP segment of a reassembled PDU]"
"1251","75.954320","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=27087 Ack=3467 Win=3735 Len=0"
"1253","76.024066","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=27087 Ack=3524 Win=3735 Len=0"
"1257","76.086983","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=27087 Ack=3524 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"1258","76.086983","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=27599 Ack=3524 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"1259","76.086983","157.240.251.61","192.168.0.10","XMPP/XML","425","UNKNOWN PACKET "
"1263","76.087622","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=3524 Ack=28111 Win=512 Len=0"
"1266","76.121890","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=3524 Ack=28482 Win=516 Len=70 [TCP segment of a reassembled PDU]"
"1268","76.190676","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=28482 Ack=3594 Win=3735 Len=0"
"1271","76.345310","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=28482 Ack=3594 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"1272","76.345310","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=28994 Ack=3594 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"1273","76.346360","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=3594 Ack=29506 Win=512 Len=0"
"1274","76.348051","157.240.251.61","192.168.0.10","TCP","521","5222  >  64144 [PSH, ACK] Seq=29506 Ack=3594 Win=3735 Len=467 [TCP segment of a reassembled PDU]"
"1283","76.376040","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=3594 Ack=29973 Win=516 Len=70 [TCP segment of a reassembled PDU]"
"1286","76.448969","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=29973 Ack=3664 Win=3735 Len=0"
"1297","77.423218","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=29973 Ack=3664 Win=3735 Len=75 [TCP segment of a reassembled PDU]"
"1298","77.423218","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=30048 Ack=3664 Win=3735 Len=75 [TCP segment of a reassembled PDU]"
"1299","77.424317","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=3664 Ack=30123 Win=515 Len=0"
"1300","77.434998","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=3664 Ack=30123 Win=515 Len=71 [TCP segment of a reassembled PDU]"
"1301","77.441382","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=3735 Ack=30123 Win=515 Len=71 [TCP segment of a reassembled PDU]"
"1302","77.509063","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=30123 Ack=3735 Win=3735 Len=0"
"1303","77.511000","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=30123 Ack=3806 Win=3735 Len=0"
"1304","77.525057","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=30123 Ack=3806 Win=3735 Len=75 [TCP segment of a reassembled PDU]"
"1305","77.574038","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=3806 Ack=30198 Win=515 Len=0"
"1306","77.615135","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=30198 Ack=3806 Win=3735 Len=75 [TCP segment of a reassembled PDU]"
"1307","77.643012","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=3806 Ack=30273 Win=515 Len=71 [TCP segment of a reassembled PDU]"
"1308","77.648647","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=3877 Ack=30273 Win=515 Len=71 [TCP segment of a reassembled PDU]"
"1312","77.727280","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=30273 Ack=3948 Win=3735 Len=0"
