"No.","Time","Source","Destination","Protocol","Length","Info"
"1113","22.384578","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=322 Ack=4999 Win=515 Len=71 [TCP segment of a reassembled PDU]"
"1114","22.387027","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=393 Ack=4999 Win=515 Len=71 [TCP segment of a reassembled PDU]"
"1117","22.461746","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=4999 Ack=393 Win=3725 Len=0"
"1118","22.461746","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=4999 Ack=464 Win=3725 Len=0"
"1144","25.638670","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=4999 Ack=464 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"1145","25.639600","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=5511 Ack=464 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"1147","25.639600","157.240.251.61","192.168.0.10","TCP","282","5222  >  64144 [PSH, ACK] Seq=6023 Ack=464 Win=3725 Len=228 [TCP segment of a reassembled PDU]"
"1148","25.640041","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=464 Ack=6023 Win=511 Len=0"
"1153","25.667962","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=464 Ack=6251 Win=516 Len=70 [TCP segment of a reassembled PDU]"
"1155","25.738598","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=6251 Ack=534 Win=3725 Len=0"
"1191","29.740471","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=6251 Ack=534 Win=3725 Len=75 [TCP segment of a reassembled PDU]"
"1192","29.746507","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=534 Ack=6326 Win=516 Len=71 [TCP segment of a reassembled PDU]"
"1194","29.869166","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=6326 Ack=605 Win=3725 Len=0"
"1294","33.239457","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=6326 Ack=605 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"1295","33.241506","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=6838 Ack=605 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"1296","33.241843","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=605 Ack=7350 Win=512 Len=0"
"1297","33.242727","157.240.251.61","192.168.0.10","TCP","298","5222  >  64144 [PSH, ACK] Seq=7350 Ack=605 Win=3725 Len=244 [TCP segment of a reassembled PDU]"
"1302","33.281225","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=605 Ack=7594 Win=511 Len=70 [TCP segment of a reassembled PDU]"
"1304","33.357160","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=7594 Ack=675 Win=3725 Len=0"
"1614","37.312739","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=7594 Ack=675 Win=3725 Len=75 [TCP segment of a reassembled PDU]"
"1615","37.324595","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=675 Ack=7669 Win=516 Len=71 [TCP segment of a reassembled PDU]"
"1618","37.401162","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=7669 Ack=746 Win=3725 Len=0"
"1625","38.973848","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=7669 Ack=746 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"1626","38.975286","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=8181 Ack=746 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"1627","38.975604","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=746 Ack=8693 Win=512 Len=0"
"1628","38.976957","157.240.251.61","192.168.0.10","TCP","298","5222  >  64144 [PSH, ACK] Seq=8693 Ack=746 Win=3725 Len=244 [TCP segment of a reassembled PDU]"
"1633","39.010490","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=746 Ack=8937 Win=511 Len=70 [TCP segment of a reassembled PDU]"
"1636","39.122152","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=8937 Ack=816 Win=3725 Len=0"
"1798","41.193029","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=8937 Ack=816 Win=3725 Len=75 [TCP segment of a reassembled PDU]"
"1801","41.247734","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=816 Ack=9012 Win=511 Len=0"
"1806","41.583086","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=816 Ack=9012 Win=511 Len=71 [TCP segment of a reassembled PDU]"
"1808","41.656082","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=9012 Ack=887 Win=3725 Len=0"
"1978","44.647135","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=9012 Ack=887 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"1979","44.648410","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=9524 Ack=887 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"1980","44.648410","157.240.251.61","192.168.0.10","TCP","314","5222  >  64144 [PSH, ACK] Seq=10036 Ack=887 Win=3725 Len=260 [TCP segment of a reassembled PDU]"
"1981","44.648762","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=887 Ack=10036 Win=516 Len=0"
"1986","44.681687","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=887 Ack=10296 Win=515 Len=70 [TCP segment of a reassembled PDU]"
"1988","44.753930","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=10296 Ack=957 Win=3725 Len=0"
"2290","48.650531","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=10296 Ack=957 Win=3725 Len=75 [TCP segment of a reassembled PDU]"
"2292","48.665841","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=957 Ack=10371 Win=515 Len=71 [TCP segment of a reassembled PDU]"
"2295","48.771229","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=10371 Ack=1028 Win=3725 Len=0"
"2299","49.600868","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=10371 Ack=1028 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"2300","49.600868","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=10883 Ack=1028 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"2301","49.600868","157.240.251.61","192.168.0.10","TCP","298","5222  >  64144 [PSH, ACK] Seq=11395 Ack=1028 Win=3725 Len=244 [TCP segment of a reassembled PDU]"
"2302","49.601292","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=1028 Ack=11395 Win=511 Len=0"
"2307","49.637617","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=1028 Ack=11639 Win=516 Len=70 [TCP segment of a reassembled PDU]"
"2310","49.737320","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=11639 Ack=1098 Win=3725 Len=0"
"2446","51.660420","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=11639 Ack=1098 Win=3725 Len=75 [TCP segment of a reassembled PDU]"
"2449","51.702884","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=1098 Ack=11714 Win=516 Len=0"
"2453","51.987069","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=1098 Ack=11714 Win=516 Len=71 [TCP segment of a reassembled PDU]"
"2459","52.067345","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=11714 Ack=1169 Win=3725 Len=0"
"2607","54.118630","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=11714 Ack=1169 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"2608","54.118833","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=12226 Ack=1169 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"2609","54.118833","157.240.251.61","192.168.0.10","TCP","298","5222  >  64144 [PSH, ACK] Seq=12738 Ack=1169 Win=3725 Len=244 [TCP segment of a reassembled PDU]"
"2613","54.119016","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=1169 Ack=12738 Win=512 Len=0"
"2616","54.159865","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=1169 Ack=12982 Win=511 Len=0"
"2617","54.166865","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=1169 Ack=12982 Win=511 Len=70 [TCP segment of a reassembled PDU]"
"2619","54.244084","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=12982 Ack=1239 Win=3725 Len=0"
"2633","54.940256","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=12982 Ack=1239 Win=3725 Len=75 [TCP segment of a reassembled PDU]"
"2635","54.949284","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=1239 Ack=13057 Win=516 Len=71 [TCP segment of a reassembled PDU]"
"2638","55.024286","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=13057 Ack=1310 Win=3725 Len=0"
"2914","57.532009","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=13057 Ack=1310 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"2915","57.532009","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=13569 Ack=1310 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"2916","57.532500","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=1310 Ack=14081 Win=512 Len=0"
"2917","57.533381","157.240.251.61","192.168.0.10","TCP","282","5222  >  64144 [PSH, ACK] Seq=14081 Ack=1310 Win=3725 Len=228 [TCP segment of a reassembled PDU]"
"2922","57.570413","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=1310 Ack=14309 Win=511 Len=70 [TCP segment of a reassembled PDU]"
